,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 1 0 1 0 1 0],2,2
1,1,[1 0 1 0 0 0 0 0 0 0 0 0],2,2
2,2,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
3,3,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
4,4,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
5,5,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
6,6,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
7,7,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
8,8,[1 0 0 0 0 0 0 0 1 0 0 0],4,2
9,9,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
10,10,[0 0 0 0 0 0 1 0 0 0 0 0],2,4
11,11,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
12,12,[1 1 0 0 0 0 1 0 0 1 0 0],2,2
13,13,[0 0 1 0 0 0 1 0 0 0 1 0],2,2
14,14,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
15,15,[0 0 0 0 0 0 0 0 0 0 0 0],3,4
16,16,[0 0 0 0 0 0 1 0 1 0 1 0],2,4
17,17,[0 1 0 0 0 0 0 0 0 0 0 0],2,2
18,18,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
19,19,[1 1 0 0 0 0 1 0 0 0 1 0],2,2
20,20,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
21,21,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
22,22,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
23,23,[0 1 0 0 0 0 0 0 0 0 0 0],4,2
24,24,[0 0 0 1 0 0 0 0 0 0 1 0],2,2
25,25,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
26,26,[1 1 0 0 0 0 0 0 0 0 1 0],2,2
27,27,[1 0 0 0 0 0 0 0 1 0 1 0],2,2
28,28,[0 1 0 0 0 0 0 0 1 0 1 0],4,4
29,29,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
30,30,[0 0 0 0 0 0 0 0 0 0 0 0],4,4
31,31,[0 1 0 0 0 0 1 0 1 0 1 0],2,2
32,32,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
33,33,[1 1 0 0 0 0 0 0 0 0 0 0],4,2
34,34,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
35,35,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
36,36,[0 1 0 0 0 0 0 0 0 0 0 0],2,2
37,37,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
38,38,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
39,39,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
40,40,[1 1 1 0 1 0 1 1 0 1 1 0],2,2
41,41,[0 1 0 0 0 0 1 1 1 1 1 0],2,2
42,42,[1 1 0 0 0 0 1 0 0 0 0 0],4,2
43,43,[1 1 1 0 0 0 0 0 0 0 1 0],2,2
44,44,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
45,45,[1 1 0 0 0 0 1 0 1 1 1 0],2,2
46,46,[0 1 1 0 0 1 1 0 0 0 0 0],2,2
47,47,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
48,48,[0 0 0 0 0 0 0 0 0 0 0 0],2,4
49,49,[1 0 0 0 0 0 1 0 0 0 0 0],2,2
50,50,[1 1 0 0 0 0 1 0 0 0 0 0],2,2
