,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": false,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Unclear,Unclear
1,1,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": true,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Partial Aligned,Partial Aligned
2,2,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": false,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Partial Aligned,Unclear
3,3,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": true,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": true,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Unclear,Partial Aligned
4,4,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": false,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": true,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": true,', '        ""Strategic Resilience Testing vs. Impact Assessment"": true,', '        ""Preliminary or pilot scenario analysis"": true,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": true,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": true']",Unclear,Partial Aligned
5,5,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": false,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": true,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Not Aligned,Partial Aligned
6,6,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": true,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Unclear,Partial Aligned
7,7,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": true,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Not Aligned,Partial Aligned
8,8,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": true,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Unclear,Partial Aligned
9,9,"['', '        ""The climate-related scenarios and associated time horizon(s) considered"": true,', '        ""The potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities)"": false,', '        ""How their strategies might change to address such potential risks and opportunities"": false,', '        ""Where they believe their strategies may be affected by climate-related risks and opportunities"": false,', '        ""Transparency in Strategy Testing and Outcomes"": false,', '        ""Strategic Resilience Testing vs. Impact Assessment"": false,', '        ""Preliminary or pilot scenario analysis"": false,', '        ""Comprehensive coverage of business areas and portfolio-specific risks"": false,', '        ""Exclusion of customer-specific transition plans"": false,', '        ""Progression from Qualitative to Quantitative Analysis"": false,', '        ""Sector-Specific Analysis Without Organization-Wide Application"": false,', '        ""Collaborative Scenario Development and Operational Risk Application"": false']",Unclear,Partial Aligned
