,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
1,1,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
2,2,[1 0 0 0 0 0 1 0 0 0 1 0],2,4
3,3,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
4,4,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
5,5,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
6,6,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
7,7,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
8,8,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
9,9,[1 0 1 1 0 1 0 0 0 0 0 1],2,2
10,10,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
11,11,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
12,12,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
13,13,[1 0 0 0 0 0 1 0 0 0 0 0],2,4
14,14,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
15,15,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
16,16,[0 1 0 0 0 0 0 0 1 0 1 0],4,4
17,17,[0 1 0 0 0 0 1 0 1 0 1 0],4,4
18,18,[1 1 0 0 0 0 0 0 1 0 0 0],2,4
19,19,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
20,20,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
21,21,[1 1 1 0 0 0 0 1 0 1 0 0],2,2
22,22,[0 1 0 0 0 0 1 1 0 0 1 0],2,2
23,23,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
24,24,[1 0 0 0 0 0 0 0 0 0 0 0],2,2
25,25,[1 0 0 0 0 0 0 0 0 1 0 0],2,2
26,26,[0 0 1 0 0 0 0 0 0 0 0 1],2,2
27,27,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
28,28,[1 0 0 0 0 0 1 0 1 0 1 1],2,4
29,29,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
30,30,[0 0 1 0 0 0 1 0 0 0 1 0],2,2
31,31,[1 1 0 0 0 0 1 0 0 1 0 0],2,4
32,32,[0 1 0 0 0 0 0 0 0 0 0 0],2,4
33,33,[1 0 0 0 0 0 0 0 0 0 0 0],4,2
34,34,[0 0 0 0 0 0 1 0 0 1 0 0],2,4
35,35,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
36,36,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
37,37,[1 1 0 0 0 0 0 0 0 0 0 0],2,2
38,38,[0 0 0 1 0 0 0 0 0 0 1 0],2,1
39,39,[0 0 0 0 0 0 1 0 0 0 0 0],4,4
40,40,[1 1 0 0 0 0 1 0 0 0 0 0],2,4
41,41,[1 1 0 0 0 0 1 0 0 0 0 0],2,4
42,42,[1 0 1 0 0 0 0 0 0 0 0 0],2,2
43,43,[0 0 0 0 0 0 0 0 0 0 0 0],4,1
44,44,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
45,45,[0 0 1 0 0 0 0 0 0 0 0 0],2,2
46,46,[1 1 0 0 0 0 0 0 0 0 0 0],4,2
47,47,[0 0 0 0 0 0 0 0 1 0 0 0],2,4
48,48,[1 1 0 0 0 0 0 0 1 1 1 0],2,4
49,49,[0 1 0 0 0 0 1 0 1 0 1 0],2,4
50,50,[1 1 1 0 0 0 0 0 0 0 0 0],2,2
