,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[0 0 0 0 0 0 1 0 1 0 1 0],3,1
1,1,[0 0 0 0 0 0 0 0 0 0 0 0],2,1
2,2,[0 1 0 0 0 0 1 0 1 0 1 0],3,1
3,3,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
4,4,[1 1 1 0 1 0 1 1 0 1 1 0],1,1
5,5,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
6,6,[1 1 0 0 0 0 1 0 0 0 1 0],1,3
7,7,[0 0 0 0 0 0 1 0 0 0 0 0],1,1
8,8,[1 0 0 0 0 0 0 0 0 0 0 0],1,3
9,9,[1 0 0 0 0 0 0 0 0 0 0 0],1,3
10,10,[0 0 0 0 0 0 1 0 0 0 1 0],1,3
11,11,[1 1 1 1 1 1 0 0 0 0 0 1],0,1
12,12,[1 0 0 0 0 0 0 0 1 0 0 0],3,1
13,13,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
14,14,[0 1 0 0 0 0 0 0 0 0 0 0],1,3
15,15,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
16,16,[0 0 1 0 0 1 0 0 0 0 0 0],1,1
17,17,[0 0 0 0 0 0 0 0 1 0 0 0],1,1
18,18,[1 1 0 0 0 0 1 0 1 1 1 0],1,1
19,19,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
20,20,[0 1 0 0 0 0 0 0 1 0 0 0],1,1
21,21,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
22,22,[1 0 0 0 0 0 1 0 1 0 1 0],3,1
23,23,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
24,24,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
25,25,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
26,26,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
27,27,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
28,28,[1 0 0 0 0 0 0 0 0 0 0 0],1,3
29,29,[0 1 0 0 0 0 0 0 1 0 1 0],3,1
30,30,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
31,31,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
32,32,[1 1 1 0 0 0 0 0 1 0 1 0],1,1
33,33,[1 0 0 0 0 0 0 0 1 0 1 0],1,1
34,34,[1 1 0 0 0 0 0 0 0 1 0 0],1,1
35,35,[1 0 0 0 0 0 1 0 1 1 1 0],1,1
36,36,[1 1 0 0 0 0 0 0 1 1 1 0],1,1
37,37,[1 0 0 0 0 0 0 1 0 0 0 0],1,1
38,38,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
39,39,[0 0 0 1 0 1 0 0 0 0 0 0],1,1
40,40,[0 0 0 0 0 0 0 0 0 0 0 0],1,1
41,41,[0 0 0 0 0 0 0 0 0 0 0 0],3,1
42,42,[0 1 0 0 0 0 1 0 1 0 1 0],1,1
43,43,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
44,44,[1 1 0 0 0 0 0 0 0 0 1 0],1,1
45,45,[0 0 0 0 0 0 1 0 0 0 0 0],3,3
46,46,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
47,47,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
48,48,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
49,49,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
50,50,[1 0 1 1 0 1 0 0 0 0 0 1],1,1
