,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
1,1,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
2,2,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
3,3,[0 0 0 0 0 0 1 0 0 0 0 0],3,1
4,4,[0 0 1 0 1 1 1 0 0 1 0 1],1,1
5,5,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
6,6,[0 0 0 0 0 0 0 0 0 1 0 0],3,3
7,7,[1 1 0 0 0 0 1 0 1 0 1 0],1,1
8,8,[0 0 0 0 0 0 0 0 0 0 0 0],1,3
9,9,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
10,10,[1 1 0 0 0 0 0 0 0 1 0 0],1,1
11,11,[0 0 0 0 0 0 1 0 0 0 1 0],3,1
12,12,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
13,13,[0 0 1 1 0 1 0 0 0 0 0 1],1,1
14,14,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
15,15,[1 0 1 1 0 1 0 0 0 0 0 1],1,1
16,16,[0 1 0 0 0 0 1 0 0 1 1 0],1,1
17,17,[0 0 1 0 0 0 0 0 0 0 0 1],1,1
18,18,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
19,19,[1 1 0 0 0 0 0 0 0 0 1 0],1,1
20,20,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
21,21,[0 0 0 1 0 1 0 0 0 0 0 0],1,1
22,22,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
23,23,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
24,24,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
25,25,[0 1 0 0 0 0 1 0 1 0 1 0],3,1
26,26,[1 0 0 0 0 0 0 0 1 0 1 1],1,1
27,27,[1 1 1 1 1 1 0 0 0 0 0 1],0,1
28,28,[0 0 0 0 0 0 1 0 0 0 0 0],3,1
29,29,[1 1 0 0 0 0 1 0 0 0 1 0],1,1
30,30,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
31,31,[0 1 1 0 0 1 1 0 0 0 0 0],1,1
32,32,[1 1 0 0 0 0 1 0 0 0 1 0],1,1
33,33,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
34,34,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
35,35,[1 1 1 0 0 0 0 0 1 0 1 0],1,1
36,36,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
37,37,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
38,38,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
39,39,[1 0 0 0 0 0 0 0 0 0 0 0],3,1
40,40,[0 1 0 0 0 0 1 1 0 0 1 0],1,1
41,41,[0 0 0 0 0 0 1 0 0 0 0 0],1,1
42,42,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
43,43,[0 0 0 0 0 0 1 0 0 0 0 0],3,1
44,44,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
45,45,[0 1 0 0 0 0 0 0 0 0 0 0],3,1
46,46,[0 1 0 0 0 0 1 0 0 1 0 0],3,1
47,47,[1 0 0 0 0 0 0 0 1 0 0 0],3,1
48,48,[1 1 0 0 0 0 0 0 1 1 1 0],1,1
49,49,[0 1 0 0 0 0 0 0 0 1 0 0],1,1
50,50,[0 1 1 0 0 0 0 0 1 0 0 0],1,1
