,index,Alignment_Factor,Alignment,predicted_Alignment
0,0,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
1,1,[1 0 0 0 0 0 1 0 1 0 1 0],1,1
2,2,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
3,3,[1 1 0 0 0 0 1 0 0 0 1 0],1,1
4,4,[1 1 0 0 0 0 0 0 0 0 0 0],3,1
5,5,[0 0 0 0 0 0 0 0 0 0 0 0],2,3
6,6,[0 1 1 0 0 0 0 0 0 0 0 0],1,1
7,7,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
8,8,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
9,9,[0 1 0 0 0 0 1 0 1 0 1 0],3,1
10,10,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
11,11,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
12,12,[1 0 0 0 0 0 0 0 1 0 1 0],1,1
13,13,[1 1 0 0 0 0 0 0 1 1 1 0],1,1
14,14,[1 1 0 0 0 0 0 0 0 0 0 0],3,1
15,15,[1 0 0 0 0 0 1 0 0 0 1 0],1,1
16,16,[1 1 0 0 0 0 1 0 1 0 1 0],1,1
17,17,[1 1 0 0 0 0 1 0 1 1 1 0],1,1
18,18,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
19,19,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
20,20,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
21,21,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
22,22,[0 0 1 0 1 1 1 0 0 1 0 1],1,1
23,23,[0 1 0 0 0 0 1 0 0 1 1 0],1,1
24,24,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
25,25,[0 1 0 0 0 0 0 0 1 0 1 0],3,1
26,26,[1 1 0 0 0 0 1 0 0 0 0 0],1,1
27,27,[0 0 1 0 0 0 1 0 0 0 0 1],1,1
28,28,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
29,29,[1 1 1 0 0 0 0 0 0 0 0 0],1,1
30,30,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
31,31,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
32,32,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
33,33,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
34,34,[0 1 1 0 0 0 0 0 1 0 0 0],1,1
35,35,[0 1 0 0 0 0 0 0 0 0 0 0],1,1
36,36,[1 1 0 0 0 0 1 0 0 1 0 0],1,1
37,37,[1 0 0 0 0 0 0 0 0 0 0 0],1,1
38,38,[0 0 0 0 0 0 1 0 0 0 0 0],1,3
39,39,[1 1 1 1 1 1 0 0 0 0 0 1],0,1
40,40,[0 1 1 1 0 1 0 1 0 0 0 1],1,1
41,41,[1 0 0 0 0 0 1 0 0 0 1 0],1,1
42,42,[1 1 0 0 0 0 1 1 0 1 1 1],1,1
43,43,[1 1 0 0 0 0 1 0 1 0 1 0],1,1
44,44,[1 1 0 0 0 0 0 0 1 1 1 0],1,1
45,45,[0 0 0 0 0 0 0 0 0 0 0 0],3,3
46,46,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
47,47,[1 0 1 0 0 0 1 0 0 0 1 1],1,1
48,48,[0 0 1 0 0 0 0 0 0 0 0 0],1,1
49,49,[0 0 1 0 0 0 0 0 0 0 0 1],1,1
50,50,[1 1 0 0 0 0 0 0 0 0 0 0],1,1
